PING 11.0.0.18 (11.0.0.18) 56(84) bytes of data.
64 bytes from 11.0.0.18: icmp_seq=46 ttl=64 time=0.534 ms
64 bytes from 11.0.0.18: icmp_seq=47 ttl=64 time=0.482 ms
64 bytes from 11.0.0.18: icmp_seq=48 ttl=64 time=0.543 ms
64 bytes from 11.0.0.18: icmp_seq=49 ttl=64 time=0.561 ms
64 bytes from 11.0.0.18: icmp_seq=50 ttl=64 time=0.536 ms
64 bytes from 11.0.0.18: icmp_seq=51 ttl=64 time=0.533 ms
64 bytes from 11.0.0.18: icmp_seq=52 ttl=64 time=0.477 ms
64 bytes from 11.0.0.18: icmp_seq=53 ttl=64 time=0.556 ms
64 bytes from 11.0.0.18: icmp_seq=54 ttl=64 time=0.544 ms
64 bytes from 11.0.0.18: icmp_seq=55 ttl=64 time=0.523 ms
64 bytes from 11.0.0.18: icmp_seq=56 ttl=64 time=0.517 ms
64 bytes from 11.0.0.18: icmp_seq=57 ttl=64 time=0.519 ms
64 bytes from 11.0.0.18: icmp_seq=58 ttl=64 time=0.476 ms
64 bytes from 11.0.0.18: icmp_seq=59 ttl=64 time=0.563 ms
64 bytes from 11.0.0.18: icmp_seq=60 ttl=64 time=0.521 ms

--- 11.0.0.18 ping statistics ---
60 packets transmitted, 60 received, 0% packet loss, time 58999ms
rtt min/avg/max/mdev = 0.410/0.510/0.610/0.044 ms
PING 11.0.0.18 (11.0.0.18) 56(84) bytes of data.
64 bytes from 11.0.0.18: icmp_seq=1 ttl=64 time=0.579 ms
64 bytes from 11.0.0.18: icmp_seq=2 ttl=64 time=0.545 ms
64 bytes from 11.0.0.18: icmp_seq=3 ttl=64 time=0.521 ms
64 bytes from 11.0.0.18: icmp_seq=4 ttl=64 time=0.554 ms
64 bytes from 11.0.0.18: icmp_seq=5 ttl=64 time=0.529 ms
64 bytes from 11.0.0.18: icmp_seq=6 ttl=64 time=0.561 ms
64 bytes from 11.0.0.18: icmp_seq=7 ttl=64 time=0.540 ms
64 bytes from 11.0.0.18: icmp_seq=8 ttl=64 time=0.538 ms
64 bytes from 11.0.0.18: icmp_seq=9 ttl=64 time=0.538 ms
64 bytes from 11.0.0.18: icmp_seq=10 ttl=64 time=0.534 ms
64 bytes from 11.0.0.18: icmp_seq=11 ttl=64 time=0.537 ms
64 bytes from 11.0.0.18: icmp_seq=12 ttl=64 time=0.560 ms
64 bytes from 11.0.0.18: icmp_seq=13 ttl=64 time=0.552 ms
64 bytes from 11.0.0.18: icmp_seq=14 ttl=64 time=0.548 ms
64 bytes from 11.0.0.18: icmp_seq=15 ttl=64 time=0.543 ms
64 bytes from 11.0.0.18: icmp_seq=16 ttl=64 time=0.541 ms
64 bytes from 11.0.0.18: icmp_seq=17 ttl=64 time=0.547 ms
64 bytes from 11.0.0.18: icmp_seq=18 ttl=64 time=0.564 ms
64 bytes from 11.0.0.18: icmp_seq=19 ttl=64 time=0.498 ms
64 bytes from 11.0.0.18: icmp_seq=20 ttl=64 time=0.665 ms
64 bytes from 11.0.0.18: icmp_seq=21 ttl=64 time=0.556 ms
64 bytes from 11.0.0.18: icmp_seq=22 ttl=64 time=0.566 ms
64 bytes from 11.0.0.18: icmp_seq=23 ttl=64 time=0.484 ms
64 bytes from 11.0.0.18: icmp_seq=24 ttl=64 time=0.559 ms
64 bytes from 11.0.0.18: icmp_seq=25 ttl=64 time=0.522 ms
64 bytes from 11.0.0.18: icmp_seq=26 ttl=64 time=0.554 ms
64 bytes from 11.0.0.18: icmp_seq=27 ttl=64 time=0.548 ms
